, DXS101, DXS10079, DXS10135, DXS10162, DXS6795, DXS6800, DXS6803, DXS6807, DXS6809, DXS6810, DXS7133, DXS7423, DXS981, DXS9902, DXS9907,  GATA165B12,  GATA172D05,  GATA31E08,  HPRTB
6, , , , , , , , , , , 0.005434782608695652, , , , , , 0.07608695652173914, , 
7, , , , , , , , , , , , , , , , , , 0.051630434782608696, 
8, , , , , , , , , , , 0.008152173913043478, , , , , 0.005434782608695652, 0.06521739130434782, 0.024456521739130436, 
9, , , , , 0.02717391304347826, , , , , , 0.7554347826086957, , , 0.07065217391304347, 0.005434782608695652, 0.19293478260869565, 0.08967391304347826, 0.19021739130434784, 
10, , , , , 0.18206521739130435, , 0.016304347826086956, 0.005434782608695652, , , 0.17119565217391305, , , 0.37771739130434784, 0.002717391304347826, 0.5135869565217391, 0.49184782608695654, 0.17119565217391305, 0.010869565217391304
11, , , , , 0.24456521739130435, , 0.1358695652173913, 0.4266304347826087, , , 0.059782608695652176, , , 0.33695652173913043, 0.021739130434782608, 0.21739130434782608, 0.2391304347826087, 0.4782608695652174, 0.029891304347826088
11.3, , , , , , , 0.057065217391304345, , , , , , , , , , , , 
12, , , , , 0.125, , 0.08152173913043478, 0.010869565217391304, , , , , 0.016304347826086956, 0.19293478260869565, 0.4673913043478261, 0.07065217391304347, 0.03804347826086957, 0.07880434782608696, 0.1766304347826087
12.3, , , , , , , 0.529891304347826, , , , , , 0.07336956521739131, , , , , , 
13, , , , , 0.41032608695652173, , 0.016304347826086956, 0.008152173913043478, , , , 0.008152173913043478, 0.21739130434782608, 0.016304347826086956, 0.41304347826086957, , , 0.005434782608695652, 0.4483695652173913
13.3, , , , , , , 0.15760869565217392, , , , , , 0.22554347826086957, , , , , , 
14, , , , , 0.010869565217391304, , , 0.4266304347826087, , , , 0.32608695652173914, 0.23097826086956522, 0.005434782608695652, 0.07880434782608696, , , , 0.25815217391304346
14.3, , , , , , , 0.005434782608695652, , , , , , 0.06793478260869565, , , , , , 
15, , , , , , , , 0.10326086956521739, , 0.005434782608695652, , 0.5842391304347826, 0.15217391304347827, , 0.010869565217391304, , , , 0.059782608695652176
16, , , , 0.016304347826086956, , 0.6875, , 0.019021739130434784, , , , 0.07608695652173914, 0.016304347826086956, , , , , , 0.016304347826086956
17, , 0.03260869565217391, , 0.16304347826086957, , , , , , 0.15760869565217392, , 0.005434782608695652, , , , , , , 
18, , 0.11684782608695653, 0.06521739130434782, 0.42934782608695654, , 0.016304347826086956, , , , 0.625, , , , , , , , , 
19, , 0.1766304347826087, 0.11413043478260869, 0.296195652173913, , 0.19021739130434784, , , , 0.21195652173913043, , , , , , , , , 
20, , 0.391304347826087, 0.12771739130434784, 0.08967391304347826, , , , , , , , , , , , , , , 
21, 0.016304347826086956, 0.17391304347826086, 0.16304347826086957, , , 0.010869565217391304, , , , , , , , , , , , , 
22, 0.021739130434782608, 0.10326086956521739, 0.11141304347826086, 0.005434782608695652, , 0.08967391304347826, , , , , , , , , , , , , 
23, 0.07336956521739131, 0.005434782608695652, 0.1358695652173913, , , 0.005434782608695652, , , , , , , , , , , , , 
24, 0.26902173913043476, , 0.04891304347826087, , , , , , , , , , , , , , , , 
25, 0.30978260869565216, , 0.02717391304347826, , , , , , , , , , , , , , , , 
26, 0.1983695652173913, , 0.059782608695652176, , , , , , , , , , , , , , , , 
27, 0.04891304347826087, , 0.03804347826086957, , , , , , , , , , , , , , , , 
28, 0.021739130434782608, , 0.021739130434782608, , , , , , , , , , , , , , , , 
29, 0.010869565217391304, , 0.016304347826086956, , , , , , , , , , , , , , , , 
30, 0.029891304347826088, , 0.021739130434782608, , , , , , 0.010869565217391304, , , , , , , , , , 
31, , , 0.016304347826086956, , , , , , 0.14673913043478262, , , , , , , , , , 
32, , , 0.021739130434782608, , , , , , 0.15217391304347827, , , , , , , , , , 
33, , , 0.005434782608695652, , , , , , 0.32065217391304346, , , , , , , , , , 
34, , , , , , , , , 0.25815217391304346, , , , , , , , , , 
35, , , 0.005434782608695652, , , , , , 0.08695652173913043, , , , , , , , , , 
36, , , , , , , , , 0.024456521739130436, , , , , , , , , , 